Time[s], Data[Decimal]
0.4012577083,0
0.401258125,1
0.4012589583,0
0.401259375,1
0.4012602083,0
0.401260625,1
0.4012614583,0
0.401261875,1
0.4012627083,0
0.401263125,1
0.4012639583,0
0.401264375,1
0.4012652083,0
0.401265625,1
0.4012664583,0
0.401266875,1
0.4012677083,0
0.401268125,1
0.4012689583,0
0.401269375,1
0.4012702083,0
0.401270625,1
0.4012714583,0
0.401271875,1
0.4012727083,0
0.401273125,1
0.4012739583,0
0.401274375,1
0.4012752083,0
0.401275625,1
0.4012764583,0
0.401276875,1
0.4012777083,0
0.401278125,1
0.4012789583,0
0.401279375,1
0.4012802083,0
0.401280625,1
0.4012814583,0
0.401281875,1
0.4012827083,0
0.401283125,1
0.4012839583,0
0.401284375,1
0.4012852083,0
0.401285625,1
0.4012864583,0
0.401286875,1
0.4012877083,0
0.401288125,1
0.4012889583,0
0.401289375,1
0.4012902083,0
0.401290625,1
0.4012914583,0
0.401291875,1
0.4012927083,0
0.401293125,1
0.4012939583,0
0.401294375,1
0.4012952083,0
0.401295625,1
0.4012964583,0
0.401296875,1
0.4012977083,0
0.401298125,1
0.4012989583,0
0.401299375,1
0.4013002083,0
0.401300625,1
0.4013014583,0
0.401301875,1
0.4013027083,0
0.401303125,1
0.4013039583,0
0.401304375,1
0.4013052083,0
0.401305625,1
0.4013064583,0
0.401306875,1
0.4013077083,0
0.401308125,1
0.4013089583,0
0.401309375,1
0.4013102083,0
0.401310625,1
0.4013114583,0
0.401311875,1
0.4013127083,0
0.401313125,1
0.4013139583,0
0.401314375,1
0.4013152083,0
0.401315625,1
0.4013164583,0
0.401316875,1
0.4013177083,0
0.401318125,1
0.4013189583,0
0.401319375,1
0.4013202083,0
0.401320625,1
0.4013214583,0
0.401321875,1
0.4013227083,0
0.401323125,1
0.4013239583,0
0.401324375,1
0.4013252083,0
0.401325625,1
0.4013264583,0
0.401326875,1
0.4013277083,0
0.401328125,1
0.4013289583,0
0.401329375,1
0.4013302083,0
0.401330625,1
0.4013314583,0
0.401331875,1
0.4013327083,0
0.401333125,1
0.4013339583,0
0.401334375,1
0.4013352083,0
